Kilometres;Skoda Fabia 1.4 TDI;
0;14800.0;
1000;14861.993;
2000;14923.986;
3000;14985.979;
4000;15047.972;
5000;15109.965;
6000;15171.958;
7000;15233.951;
8000;15295.944;
9000;15357.937;
10000;15419.93;
11000;15481.923;
12000;15543.916;
13000;15605.909;
14000;15667.902;
15000;15849.895;
16000;15911.888;
17000;15973.881;
18000;16035.874;
19000;16097.867;
20000;16159.86;
21000;16221.853;
22000;16283.846;
23000;16345.839;
24000;16407.832;
25000;16469.825;
26000;16531.818;
27000;16593.811;
28000;16655.804;
29000;16717.797;
30000;16899.79;
31000;16961.783;
32000;17023.776;
33000;17085.769;
34000;17147.762;
35000;17209.755;
36000;17271.748;
37000;17333.741;
38000;17395.734;
39000;17457.727;
40000;17519.72;
41000;17581.713;
42000;17643.706;
43000;17705.699;
44000;17767.692;
45000;17949.685;
46000;18011.678;
47000;18607.671;
48000;18669.664;
49000;18731.657;
50000;18793.65;
51000;18855.643;
52000;18917.636;
53000;18979.629;
54000;19041.622;
55000;19103.615;
56000;19165.608;
57000;19227.601;
58000;19289.594;
59000;19351.587;
60000;19533.58;
61000;19595.573;
62000;19657.566;
63000;19719.559;
64000;19781.552;
65000;19843.545;
66000;19905.538;
67000;19967.531;
68000;20029.524;
69000;20091.517;
70000;20153.51;
71000;20215.503;
72000;20277.496;
73000;20339.489;
74000;20401.482;
75000;20583.475;
76000;20645.468;
77000;20707.461;
78000;20769.454;
79000;20831.447;
80000;20893.44;
81000;20955.433;
82000;21017.426;
83000;21079.419;
84000;21141.412;
85000;21203.405;
86000;21265.398;
87000;21327.391;
88000;21389.384;
89000;21451.377;
90000;22383.37;
91000;22445.363;
92000;22507.356;
93000;22569.349;
94000;23165.342;
95000;23227.335;
96000;23289.328;
97000;23351.321;
98000;23413.314;
99000;23475.307;
100000;23537.3;
101000;23599.293;
102000;23661.286;
103000;23723.279;
104000;23785.272;
105000;23967.265;
106000;24029.258;
107000;24091.251;
108000;24153.244;
109000;24215.237;
110000;24277.23;
111000;24339.223;
112000;24401.216;
113000;24463.209;
114000;24525.202;
115000;24587.195;
116000;24649.188;
117000;24711.181;
118000;24773.174;
119000;24835.167;
120000;25017.16;
121000;25079.153;
122000;25141.146;
123000;25203.139;
124000;25265.132;
125000;25327.125;
126000;25389.118;
127000;25451.111;
128000;25513.104;
129000;25575.097;
130000;25637.09;
131000;25699.083;
132000;25761.076;
133000;25823.069;
134000;25885.062;
135000;26067.055;
136000;26129.048;
137000;26191.041;
138000;26253.034;
139000;26315.027;
140000;26377.02;
141000;26973.013;
142000;27035.006;
143000;27096.999;
144000;27158.992;
145000;27220.985;
146000;27282.978;
147000;27344.971;
148000;27406.964;
149000;27468.957;
150000;27650.95;
151000;27712.943;
152000;27774.936;
153000;27836.929;
154000;27898.922;
155000;27960.915;
156000;28022.908;
157000;28084.901;
158000;28146.894;
159000;28208.887;
160000;28270.88;
161000;28332.873;
162000;28394.866;
163000;28456.859;
164000;28518.852;
165000;28700.845;
166000;28762.838;
167000;28824.831;
168000;28886.824;
169000;28948.817;
170000;29010.81;
171000;29072.803;
172000;29134.796;
173000;29196.789;
174000;29258.782;
175000;29320.775;
176000;29382.768;
177000;29444.761;
178000;29506.754;
179000;29568.747;
180000;30500.74;
181000;30562.733;
182000;30624.726;
183000;30686.719;
184000;30748.712;
185000;30810.705;
186000;30872.698;
187000;30934.691;
188000;31530.684;
189000;31592.677;
190000;31654.67;
191000;31716.663;
192000;31778.656;
193000;31840.649;
194000;31902.642;
195000;32084.635;
196000;32146.628;
197000;32208.621;
198000;32270.614;
199000;32332.607;
200000;32394.6;
201000;32456.593;
202000;32518.586;
203000;32580.579;
204000;32642.572;
205000;32704.565;
206000;32766.558;
207000;32828.551;
208000;32890.544;
209000;32952.537;
210000;33134.53;
211000;33196.523;
212000;33258.516;
213000;33320.509;
214000;33382.502;
215000;33444.495;
216000;33506.488;
217000;33568.481;
218000;33630.474;
219000;33692.467;
220000;33754.46;
221000;33816.453;
222000;33878.446;
223000;33940.439;
224000;34002.432;
225000;34184.425;
226000;34246.418;
227000;34308.411;
228000;34370.404;
229000;34432.397;
230000;34494.39;
231000;34556.383;
232000;34618.376;
233000;34680.369;
234000;34742.362;
235000;35338.355;
236000;35400.348;
237000;35462.341;
238000;35524.334;
239000;35586.327;
240000;35768.32;
241000;35830.313;
242000;35892.306;
243000;35954.299;
244000;36016.292;
245000;36078.285;
246000;36140.278;
247000;36202.271;
248000;36264.264;
249000;36326.257;
250000;36388.25;
251000;36450.243;
252000;36512.236;
253000;36574.229;
254000;36636.222;
255000;36818.215;
256000;36880.208;
257000;36942.201;
258000;37004.194;
259000;37066.187;
260000;37128.18;
261000;37190.173;
262000;37252.166;
263000;37314.159;
264000;37376.152;
265000;37438.145;
266000;37500.138;
267000;37562.131;
268000;37624.124;
269000;37686.117;
270000;38618.11;
271000;38680.103;
272000;38742.096;
273000;38804.089;
274000;38866.082;
275000;38928.075;
276000;38990.068;
277000;39052.061;
278000;39114.054;
279000;39176.047;
280000;39238.04;
281000;39300.033;
282000;39896.026;
283000;39958.019;
284000;40020.012;
285000;40202.005;
286000;40263.998;
287000;40325.991;
288000;40387.984;
289000;40449.977;
290000;40511.97;
291000;40573.963;
292000;40635.956;
293000;40697.949;
294000;40759.942;
295000;40821.935;
296000;40883.928;
297000;40945.921;
298000;41007.914;
299000;41069.907;
300000;41251.9;
