Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Fiat Punto Evo 1.2 e;Fiat Punto Evo 1.3 d;Renault Clio III essence 75 ch;
0;14800.0;10600.0;12390.0;14690.0;8000.0;
1000;14861.993;10670.334;12469.508;14744.079;8088.682;
2000;14923.986;10740.668;12549.016;14798.158;8177.364;
3000;14985.979;10811.002;12628.524;14852.237;8266.046;
4000;15047.972;10881.336;12708.032;14906.316;8354.728;
5000;15109.965;10951.67;12787.54;14960.395;8443.41;
6000;15171.958;11022.004;12867.048;15014.474;8532.092;
7000;15233.951;11092.338;12946.556;15068.553;8645.774;
8000;15295.944;11162.672;13026.064;15122.632;8734.456;
9000;15357.937;11233.006;13105.572;15176.711;8823.138;
10000;15419.93;11303.34;13185.08;15230.79;8911.82;
11000;15481.923;11373.674;13264.588;15284.869;9000.502;
12000;15543.916;11444.008;13344.096;15338.948;9089.184;
13000;15605.909;11514.342;13423.604;15393.027;9177.866;
14000;15667.902;11584.676;13503.112;15447.106;9291.548;
15000;15849.895;11765.01;13582.62;15501.185;9380.23;
16000;15911.888;11835.344;13662.128;15555.264;9468.912;
17000;15973.881;11905.678;13741.636;15609.343;9557.594;
18000;16035.874;11976.012;13821.144;15663.422;9646.276;
19000;16097.867;12046.346;13900.652;15717.501;9734.958;
20000;16159.86;12116.68;13980.16;15771.58;9823.64;
21000;16221.853;12187.014;14059.668;15825.659;9937.322;
22000;16283.846;12257.348;14139.176;15879.738;10026.004;
23000;16345.839;12327.682;14218.684;15933.817;10114.686;
24000;16407.832;12398.016;14298.192;15987.896;10203.368;
25000;16469.825;12468.35;14377.7;16041.975;10292.05;
26000;16531.818;12538.684;14457.208;16096.054;10380.732;
27000;16593.811;12609.018;14536.716;16150.133;10469.414;
28000;16655.804;12679.352;14616.224;16204.212;10583.096;
29000;16717.797;12749.686;14695.732;16258.291;10671.778;
30000;16899.79;12930.02;14775.24;16512.37;10960.46;
31000;16961.783;13000.354;14854.748;16566.449;11049.142;
32000;17023.776;13070.688;14934.256;16620.528;11137.824;
33000;17085.769;13141.022;15013.764;16674.607;11226.506;
34000;17147.762;13211.356;15093.272;16728.686;11315.188;
35000;17209.755;13281.69;15172.78;16782.765;11428.87;
36000;17271.748;13352.024;15252.288;16836.844;11517.552;
37000;17333.741;13422.358;15331.796;16890.923;11606.234;
38000;17395.734;13492.692;15411.304;16945.002;11694.916;
39000;17457.727;13563.026;15490.812;16999.081;11783.598;
40000;17519.72;13633.36;15570.32;17053.16;11872.28;
41000;17581.713;13703.694;15649.828;17107.239;11960.962;
42000;17643.706;13774.028;15729.336;17161.318;12074.644;
43000;17705.699;13844.362;15808.844;17215.397;12163.326;
44000;17767.692;13914.696;15888.352;17269.476;12252.008;
45000;17949.685;14095.03;15967.86;17323.555;12340.69;
46000;18011.678;14165.364;16047.368;17377.634;12429.372;
47000;18607.671;14615.698;16126.876;17931.713;13018.054;
48000;18669.664;14686.032;16206.384;17985.792;13106.736;
49000;18731.657;14756.366;16285.892;18039.871;13220.418;
50000;18793.65;14826.7;16365.4;18093.95;13309.1;
51000;18855.643;14897.034;16444.908;18148.029;13397.782;
52000;18917.636;14967.368;16524.416;18202.108;13486.464;
53000;18979.629;15037.702;16603.924;18256.187;13575.146;
54000;19041.622;15108.036;16683.432;18310.266;13663.828;
55000;19103.615;15178.37;16762.94;18364.345;13752.51;
56000;19165.608;15248.704;16842.448;18418.424;13866.192;
57000;19227.601;15319.038;16921.956;18472.503;13954.874;
58000;19289.594;15389.372;17001.464;18526.582;14043.556;
59000;19351.587;15459.706;17080.972;18580.661;14132.238;
60000;19533.58;15640.04;17160.48;18834.74;14420.92;
61000;19595.573;15710.374;17239.988;18888.819;14509.602;
62000;19657.566;15780.708;17319.496;18942.898;14598.284;
63000;19719.559;15851.042;17399.004;18996.977;14711.966;
64000;19781.552;15921.376;17478.512;19051.056;14800.648;
65000;19843.545;15991.71;17558.02;19105.135;14889.33;
66000;19905.538;16062.044;17637.528;19159.214;14978.012;
67000;19967.531;16132.378;17717.036;19213.293;15066.694;
68000;20029.524;16202.712;17796.544;19267.372;15155.376;
69000;20091.517;16273.046;17876.052;19321.451;15244.058;
70000;20153.51;16343.38;17955.56;19375.53;15357.74;
71000;20215.503;16413.714;18035.068;19429.609;15446.422;
72000;20277.496;16484.048;18114.576;19483.688;15535.104;
73000;20339.489;16554.382;18194.084;19537.767;15623.786;
74000;20401.482;16624.716;18273.592;19591.846;15712.468;
75000;20583.475;16805.05;18353.1;19645.925;15801.15;
76000;20645.468;16875.384;18432.608;19700.004;15889.832;
77000;20707.461;16945.718;18512.116;19754.083;16003.514;
78000;20769.454;17016.052;18591.624;19808.162;16092.196;
79000;20831.447;17086.386;18671.132;19862.241;16180.878;
80000;20893.44;17156.72;18750.64;19916.32;16269.56;
81000;20955.433;17227.054;18830.148;19970.399;16358.242;
82000;21017.426;17297.388;18909.656;20024.478;16446.924;
83000;21079.419;17367.722;18989.164;20078.557;16535.606;
84000;21141.412;17438.056;19068.672;20132.636;16649.288;
85000;21203.405;17508.39;19148.18;20186.715;16737.97;
86000;21265.398;17578.724;19227.688;20240.794;16826.652;
87000;21327.391;17649.058;19307.196;20294.873;16915.334;
88000;21389.384;17719.392;19386.704;20348.952;17004.016;
89000;21451.377;17789.726;19466.212;20403.031;17092.698;
90000;22383.37;18520.06;19545.72;21157.11;17881.38;
