Kilometres;Porsche;
0;150000.0;
1000;150267.575;
2000;150535.15;
3000;150802.725;
4000;151070.3;
5000;151337.875;
6000;151605.45;
7000;151873.025;
8000;152140.6;
9000;152408.175;
10000;152675.75;
11000;152943.325;
12000;153210.9;
13000;153478.475;
14000;153746.05;
15000;154013.625;
16000;154281.2;
17000;154548.775;
18000;154816.35;
19000;155083.925;
20000;155351.5;
21000;155619.075;
22000;155886.65;
23000;156154.225;
24000;156421.8;
25000;156689.375;
26000;156956.95;
27000;157224.525;
28000;157492.1;
29000;157759.675;
30000;158027.25;
31000;158294.825;
32000;158562.4;
33000;158829.975;
34000;159097.55;
35000;159365.125;
36000;159632.7;
37000;159900.275;
38000;160167.85;
39000;160435.425;
40000;160703.0;
41000;160970.575;
42000;161238.15;
43000;161505.725;
44000;161773.3;
45000;162040.875;
46000;162308.45;
47000;167576.025;
48000;167843.6;
49000;168111.175;
50000;168378.75;
51000;168646.325;
52000;168913.9;
53000;169181.475;
54000;169449.05;
55000;169716.625;
56000;169984.2;
57000;170251.775;
58000;170519.35;
59000;170786.925;
60000;171054.5;
61000;171322.075;
62000;171589.65;
63000;171857.225;
64000;172124.8;
65000;172392.375;
66000;172659.95;
67000;172927.525;
68000;173195.1;
69000;173462.675;
70000;173730.25;
71000;173997.825;
72000;174265.4;
73000;174532.975;
74000;174800.55;
75000;175068.125;
76000;175335.7;
77000;175603.275;
78000;175870.85;
79000;176138.425;
80000;176406.0;
81000;176673.575;
82000;176941.15;
83000;177208.725;
84000;177476.3;
85000;177743.875;
86000;178011.45;
87000;178279.025;
88000;178546.6;
89000;178814.175;
90000;179081.75;
91000;179349.325;
92000;179616.9;
93000;179884.475;
94000;185152.05;
95000;185419.625;
96000;185687.2;
97000;185954.775;
98000;186222.35;
99000;186489.925;
100000;186757.5;
101000;187025.075;
102000;187292.65;
103000;187560.225;
104000;187827.8;
105000;188095.375;
106000;188362.95;
107000;188630.525;
108000;188898.1;
109000;189165.675;
110000;189433.25;
111000;189700.825;
112000;189968.4;
113000;190235.975;
114000;190503.55;
115000;190771.125;
116000;191038.7;
117000;191306.275;
118000;191573.85;
119000;191841.425;
120000;192109.0;
121000;192376.575;
122000;192644.15;
123000;192911.725;
124000;193179.3;
125000;193446.875;
126000;193714.45;
127000;193982.025;
128000;194249.6;
129000;194517.175;
130000;194784.75;
131000;195052.325;
132000;195319.9;
133000;195587.475;
134000;195855.05;
135000;196122.625;
136000;196390.2;
137000;196657.775;
138000;196925.35;
139000;197192.925;
140000;197460.5;
141000;202728.075;
142000;202995.65;
143000;203263.225;
144000;203530.8;
145000;203798.375;
146000;204065.95;
147000;204333.525;
148000;204601.1;
149000;204868.675;
150000;205136.25;
151000;205403.825;
152000;205671.4;
153000;205938.975;
154000;206206.55;
155000;206474.125;
156000;206741.7;
157000;207009.275;
158000;207276.85;
159000;207544.425;
160000;207812.0;
161000;208079.575;
162000;208347.15;
163000;208614.725;
164000;208882.3;
165000;209149.875;
166000;209417.45;
167000;209685.025;
168000;209952.6;
169000;210220.175;
170000;210487.75;
171000;210755.325;
172000;211022.9;
173000;211290.475;
174000;211558.05;
175000;211825.625;
176000;212093.2;
177000;212360.775;
178000;212628.35;
179000;212895.925;
180000;213163.5;
181000;213431.075;
182000;213698.65;
183000;213966.225;
184000;214233.8;
185000;214501.375;
186000;214768.95;
187000;215036.525;
188000;220304.1;
189000;220571.675;
190000;220839.25;
191000;221106.825;
192000;221374.4;
193000;221641.975;
194000;221909.55;
195000;222177.125;
196000;222444.7;
197000;222712.275;
198000;222979.85;
199000;223247.425;
200000;223515.0;
201000;223782.575;
202000;224050.15;
203000;224317.725;
204000;224585.3;
205000;224852.875;
206000;225120.45;
207000;225388.025;
208000;225655.6;
209000;225923.175;
210000;226190.75;
211000;226458.325;
212000;226725.9;
213000;226993.475;
214000;227261.05;
215000;227528.625;
216000;227796.2;
217000;228063.775;
218000;228331.35;
219000;228598.925;
220000;228866.5;
221000;229134.075;
222000;229401.65;
223000;229669.225;
224000;229936.8;
225000;230204.375;
226000;230471.95;
227000;230739.525;
228000;231007.1;
229000;231274.675;
230000;231542.25;
231000;231809.825;
232000;232077.4;
233000;232344.975;
234000;232612.55;
235000;237880.125;
236000;238147.7;
237000;238415.275;
238000;238682.85;
239000;238950.425;
240000;239218.0;
241000;239485.575;
242000;239753.15;
243000;240020.725;
244000;240288.3;
245000;240555.875;
246000;240823.45;
247000;241091.025;
248000;241358.6;
249000;241626.175;
250000;241893.75;
251000;242161.325;
252000;242428.9;
253000;242696.475;
254000;242964.05;
255000;243231.625;
256000;243499.2;
257000;243766.775;
258000;244034.35;
259000;244301.925;
260000;244569.5;
261000;244837.075;
262000;245104.65;
263000;245372.225;
264000;245639.8;
265000;245907.375;
266000;246174.95;
267000;246442.525;
268000;246710.1;
269000;246977.675;
270000;247245.25;
271000;247512.825;
272000;247780.4;
273000;248047.975;
274000;248315.55;
275000;248583.125;
276000;248850.7;
277000;249118.275;
278000;249385.85;
279000;249653.425;
280000;249921.0;
281000;250188.575;
282000;255456.15;
283000;255723.725;
284000;255991.3;
285000;256258.875;
286000;256526.45;
287000;256794.025;
288000;257061.6;
289000;257329.175;
290000;257596.75;
291000;257864.325;
292000;258131.9;
293000;258399.475;
294000;258667.05;
295000;258934.625;
296000;259202.2;
297000;259469.775;
298000;259737.35;
299000;260004.925;
300000;260272.5;
