Kilometres;Toyota Aygo 1.1;Fiat Punto Evo 1.2 e;Fiat Punto Evo 1.3 d;Fiat Punto Evo 1.2 gaz;
0;10600.0;12390.0;14690.0;12390.0;
1000;10668.54;12467.48;14744.94;12426.8;
2000;10737.08;12544.96;14799.88;12463.6;
3000;10805.62;12622.44;14854.82;12505.4;
4000;10874.16;12699.92;14909.76;12542.2;
5000;10942.7;12777.4;14964.7;12579.0;
6000;11011.24;12854.88;15019.64;12620.8;
7000;11079.78;12932.36;15074.58;12657.6;
8000;11148.32;13009.84;15129.52;12694.4;
9000;11216.86;13087.32;15184.46;12736.2;
10000;11285.4;13164.8;15239.4;12773.0;
11000;11353.94;13242.28;15294.34;12809.8;
12000;11422.48;13319.76;15349.28;12851.6;
13000;11491.02;13397.24;15404.22;12888.4;
14000;11559.56;13474.72;15459.16;12925.2;
15000;11738.1;13552.2;15514.1;12967.0;
16000;11806.64;13629.68;15569.04;13003.8;
17000;11875.18;13707.16;15623.98;13040.6;
18000;11943.72;13784.64;15678.92;13082.4;
19000;12012.26;13862.12;15733.86;13119.2;
20000;12080.8;13939.6;15788.8;13156.0;
21000;12149.34;14017.08;15843.74;13197.8;
22000;12217.88;14094.56;15898.68;13234.6;
23000;12286.42;14172.04;15953.62;13271.4;
24000;12354.96;14249.52;16008.56;13313.2;
25000;12423.5;14327.0;16063.5;13350.0;
26000;12492.04;14404.48;16118.44;13386.8;
27000;12560.58;14481.96;16173.38;13428.6;
28000;12629.12;14559.44;16228.32;13465.4;
29000;12697.66;14636.92;16283.26;13502.2;
30000;12876.2;14714.4;16538.2;13544.0;
31000;12944.74;14791.88;16593.14;13580.8;
32000;13013.28;14869.36;16648.08;13617.6;
33000;13081.82;14946.84;16703.02;13659.4;
34000;13150.36;15024.32;16757.96;13696.2;
35000;13218.9;15101.8;16812.9;13733.0;
36000;13287.44;15179.28;16867.84;13774.8;
37000;13355.98;15256.76;16922.78;13811.6;
38000;13424.52;15334.24;16977.72;13848.4;
39000;13493.06;15411.72;17032.66;13890.2;
40000;13561.6;15489.2;17087.6;13927.0;
41000;13630.14;15566.68;17142.54;13963.8;
42000;13698.68;15644.16;17197.48;14005.6;
43000;13767.22;15721.64;17252.42;14042.4;
44000;13835.76;15799.12;17307.36;14079.2;
45000;14014.3;15876.6;17362.3;14121.0;
46000;14082.84;15954.08;17417.24;14157.8;
47000;14531.38;16031.56;17972.18;14194.6;
48000;14599.92;16109.04;18027.12;14236.4;
49000;14668.46;16186.52;18082.06;14273.2;
50000;14737.0;16264.0;18137.0;14310.0;
51000;14805.54;16341.48;18191.94;14351.8;
52000;14874.08;16418.96;18246.88;14388.6;
53000;14942.62;16496.44;18301.82;14425.4;
54000;15011.16;16573.92;18356.76;14467.2;
55000;15079.7;16651.4;18411.7;14504.0;
56000;15148.24;16728.88;18466.64;14540.8;
57000;15216.78;16806.36;18521.58;14582.6;
58000;15285.32;16883.84;18576.52;14619.4;
59000;15353.86;16961.32;18631.46;14656.2;
60000;15532.4;17038.8;18886.4;14698.0;
61000;15600.94;17116.28;18941.34;14734.8;
62000;15669.48;17193.76;18996.28;14771.6;
63000;15738.02;17271.24;19051.22;14813.4;
64000;15806.56;17348.72;19106.16;14850.2;
65000;15875.1;17426.2;19161.1;14887.0;
66000;15943.64;17503.68;19216.04;14928.8;
67000;16012.18;17581.16;19270.98;14965.6;
68000;16080.72;17658.64;19325.92;15002.4;
69000;16149.26;17736.12;19380.86;15044.2;
70000;16217.8;17813.6;19435.8;15081.0;
71000;16286.34;17891.08;19490.74;15117.8;
72000;16354.88;17968.56;19545.68;15159.6;
73000;16423.42;18046.04;19600.62;15196.4;
74000;16491.96;18123.52;19655.56;15233.2;
75000;16670.5;18201.0;19710.5;15275.0;
76000;16739.04;18278.48;19765.44;15311.8;
77000;16807.58;18355.96;19820.38;15348.6;
78000;16876.12;18433.44;19875.32;15390.4;
79000;16944.66;18510.92;19930.26;15427.2;
80000;17013.2;18588.4;19985.2;15464.0;
81000;17081.74;18665.88;20040.14;15505.8;
82000;17150.28;18743.36;20095.08;15542.6;
83000;17218.82;18820.84;20150.02;15579.4;
84000;17287.36;18898.32;20204.96;15621.2;
85000;17355.9;18975.8;20259.9;15658.0;
86000;17424.44;19053.28;20314.84;15694.8;
87000;17492.98;19130.76;20369.78;15736.6;
88000;17561.52;19208.24;20424.72;15773.4;
89000;17630.06;19285.72;20479.66;15810.2;
90000;18358.6;19363.2;21234.6;15852.0;
91000;18427.14;19440.68;21289.54;15888.8;
92000;18495.68;19518.16;21344.48;15925.6;
93000;18564.22;19595.64;21399.42;15967.4;
94000;19012.76;19673.12;21954.36;16004.2;
95000;19081.3;19750.6;22009.3;16041.0;
96000;19149.84;19828.08;22064.24;16082.8;
97000;19218.38;19905.56;22119.18;16119.6;
98000;19286.92;19983.04;22174.12;16156.4;
99000;19355.46;20060.52;22229.06;16198.2;
100000;19424.0;20138.0;22284.0;16235.0;
101000;19492.54;20215.48;22338.94;16271.8;
102000;19561.08;20292.96;22393.88;16313.6;
103000;19629.62;20370.44;22448.82;16350.4;
104000;19698.16;20447.92;22503.76;16387.2;
105000;19876.7;20525.4;22558.7;16429.0;
106000;19945.24;20602.88;22613.64;16465.8;
107000;20013.78;20680.36;22668.58;16502.6;
108000;20082.32;20757.84;22723.52;16544.4;
109000;20150.86;20835.32;22778.46;16581.2;
110000;20219.4;20912.8;22833.4;16618.0;
111000;20287.94;20990.28;22888.34;16659.8;
112000;20356.48;21067.76;22943.28;16696.6;
113000;20425.02;21145.24;22998.22;16733.4;
114000;20493.56;21222.72;23053.16;16775.2;
115000;20562.1;21300.2;23108.1;16812.0;
116000;20630.64;21377.68;23163.04;16848.8;
117000;20699.18;21455.16;23217.98;16890.6;
118000;20767.72;21532.64;23272.92;16927.4;
119000;20836.26;21610.12;23327.86;16964.2;
120000;21014.8;21687.6;23582.8;17006.0;
121000;21083.34;21765.08;23637.74;17042.8;
122000;21151.88;21842.56;23692.68;17079.6;
123000;21220.42;21920.04;23747.62;17121.4;
124000;21288.96;21997.52;23802.56;17158.2;
125000;21357.5;22075.0;23857.5;17195.0;
126000;21426.04;22152.48;23912.44;17236.8;
127000;21494.58;22229.96;23967.38;17273.6;
128000;21563.12;22307.44;24022.32;17310.4;
129000;21631.66;22384.92;24077.26;17352.2;
130000;21700.2;22462.4;24132.2;17389.0;
131000;21768.74;22539.88;24187.14;17425.8;
132000;21837.28;22617.36;24242.08;17467.6;
133000;21905.82;22694.84;24297.02;17504.4;
134000;21974.36;22772.32;24351.96;17541.2;
135000;22152.9;22849.8;24406.9;17583.0;
136000;22221.44;22927.28;24461.84;17619.8;
137000;22289.98;23004.76;24516.78;17656.6;
138000;22358.52;23082.24;24571.72;17698.4;
139000;22427.06;23159.72;24626.66;17735.2;
140000;22495.6;23237.2;24681.6;17772.0;
141000;22944.14;23314.68;25236.54;17813.8;
142000;23012.68;23392.16;25291.48;17850.6;
143000;23081.22;23469.64;25346.42;17887.4;
144000;23149.76;23547.12;25401.36;17929.2;
145000;23218.3;23624.6;25456.3;17966.0;
146000;23286.84;23702.08;25511.24;18002.8;
147000;23355.38;23779.56;25566.18;18044.6;
148000;23423.92;23857.04;25621.12;18081.4;
149000;23492.46;23934.52;25676.06;18118.2;
150000;23671.0;24012.0;25931.0;18160.0;
151000;23739.54;24089.48;25985.94;18196.8;
152000;23808.08;24166.96;26040.88;18233.6;
153000;23876.62;24244.44;26095.82;18275.4;
154000;23945.16;24321.92;26150.76;18312.2;
155000;24013.7;24399.4;26205.7;18349.0;
156000;24082.24;24476.88;26260.64;18390.8;
157000;24150.78;24554.36;26315.58;18427.6;
158000;24219.32;24631.84;26370.52;18464.4;
159000;24287.86;24709.32;26425.46;18506.2;
160000;24356.4;24786.8;26480.4;18543.0;
161000;24424.94;24864.28;26535.34;18579.8;
162000;24493.48;24941.76;26590.28;18621.6;
163000;24562.02;25019.24;26645.22;18658.4;
164000;24630.56;25096.72;26700.16;18695.2;
165000;24809.1;25174.2;26755.1;18737.0;
166000;24877.64;25251.68;26810.04;18773.8;
