Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Dacia Logan 1.2;Renaut Clio Campus 1.5;Dacia Sandero 1.2;Fiat Punto Evo 1.2 e;Fiat Punto Evo 1.3 d;Fiat Panda 1.2 e;Fiat Panda 1.3 d;Renault Clio III essence 75 ch;
0;14800.0;10600.0;9500.0;11500.0;10500.0;12390.0;14690.0;9350.0;11600.0;8000.0;
1000;14861.993;10670.334;9594.798;11568.588;10611.617;12469.508;14744.079;9424.921;11655.398;8088.682;
2000;14923.986;10740.668;9689.596;11637.176;10723.234;12549.016;14798.158;9499.842;11710.796;8177.364;
3000;14985.979;10811.002;9784.394;11705.764;10834.851;12628.524;14852.237;9574.763;11766.194;8266.046;
4000;15047.972;10881.336;9879.192;11774.352;10946.468;12708.032;14906.316;9649.684;11821.592;8354.728;
5000;15109.965;10951.67;9973.99;11842.94;11058.085;12787.54;14960.395;9724.605;11876.99;8443.41;
6000;15171.958;11022.004;10068.788;11911.528;11169.702;12867.048;15014.474;9799.526;11932.388;8532.092;
7000;15233.951;11092.338;10163.586;11980.116;11281.319;12946.556;15068.553;9874.447;11987.786;8620.774;
8000;15295.944;11162.672;10258.384;12048.704;11392.936;13026.064;15122.632;9949.368;12043.184;8709.456;
9000;15357.937;11233.006;10353.182;12117.292;11504.553;13105.572;15176.711;10024.289;12098.582;8798.138;
10000;15419.93;11303.34;10447.98;12185.88;11616.17;13185.08;15230.79;10099.21;12153.98;8886.82;
11000;15481.923;11373.674;10542.778;12254.468;11727.787;13264.588;15284.869;10174.131;12209.378;8975.502;
12000;15543.916;11444.008;10637.576;12323.056;11839.404;13344.096;15338.948;10249.052;12264.776;9064.184;
13000;15605.909;11514.342;10732.374;12391.644;11951.021;13423.604;15393.027;10323.973;12320.174;9152.866;
14000;15667.902;11584.676;10827.172;12460.232;12062.638;13503.112;15447.106;10398.894;12375.572;9241.548;
15000;15849.895;11765.01;10921.97;12528.82;12174.255;13582.62;15501.185;10473.815;12430.97;9330.23;
16000;15911.888;11835.344;11016.768;12597.408;12285.872;13662.128;15555.264;10548.736;12486.368;9418.912;
17000;15973.881;11905.678;11111.566;12665.996;12397.489;13741.636;15609.343;10623.657;12541.766;9507.594;
18000;16035.874;11976.012;11206.364;12734.584;12509.106;13821.144;15663.422;10698.578;12597.164;9596.276;
