Kilometres;Toyota Aygo 1.1;Dacia Sandero 1.2;Dacia Logan 1.5 dci;Fiat Panda 1.3 d;Fiat Punto Evo 1.3 d;Renaut Clio Campus 1.5;Skoda Fabia 1.2 e;Renault Clio III essence 75 ch;Fiat Panda 1.2 e;Fiat Punto Evo 1.2 e;Skoda Fabia 1.4 TDI;Toyota Yaris;Dacia Logan 1.2
0;10600.0;10500.0;12500.0;11600.0;14690.0;11500.0;12500.0;8000.0;9350.0;12390.0;14800.0;17000.0;9500.0;
1000;10670.334;10611.617;12575.006;11658.338;14746.949;11572.228;12590.211;8088.682;9424.921;12469.508;14865.283;17061.116;9594.798;
2000;10740.668;10723.234;12650.012;11716.676;14803.898;11644.456;12680.422;8177.364;9499.842;12549.016;14930.566;17122.232;9689.596;
3000;10811.002;10834.851;12725.018;11775.014;14860.847;11716.684;12770.633;8266.046;9574.763;12628.524;14995.849;17183.348;9784.394;
4000;10881.336;10946.468;12800.024;11833.352;14917.796;11788.912;12860.844;8354.728;9649.684;12708.032;15061.132;17244.464;9879.192;
5000;10951.67;11058.085;12875.03;11891.69;14974.745;11861.14;12951.055;8443.41;9724.605;12787.54;15126.415;17305.58;9973.99;
6000;11022.004;11169.702;12950.036;11950.028;15031.694;11933.368;13041.266;8532.092;9799.526;12867.048;15191.698;17366.696;10068.788;
7000;11092.338;11281.319;13025.042;12008.366;15088.643;12005.596;13131.477;8620.774;9874.447;12946.556;15256.981;17427.812;10163.586;
8000;11162.672;11392.936;13100.048;12066.704;15145.592;12077.824;13221.688;8709.456;9949.368;13026.064;15322.264;17488.928;10258.384;
9000;11233.006;11504.553;13175.054;12125.042;15202.541;12150.052;13311.899;8798.138;10024.289;13105.572;15387.547;17550.044;10353.182;
10000;11303.34;11616.17;13250.06;12183.38;15259.49;12222.28;13402.11;8886.82;10099.21;13185.08;15452.83;17611.16;10447.98;
11000;11373.674;11727.787;13325.066;12241.718;15316.439;12294.508;13492.321;8975.502;10174.131;13264.588;15518.113;17672.276;10542.778;
12000;11444.008;11839.404;13400.072;12300.056;15373.388;12366.736;13582.532;9064.184;10249.052;13344.096;15583.396;17733.392;10637.576;
13000;11514.342;11951.021;13475.078;12358.394;15430.337;12438.964;13672.743;9152.866;10323.973;13423.604;15648.679;17794.508;10732.374;
14000;11584.676;12062.638;13550.084;12416.732;15487.286;12511.192;13762.954;9241.548;10398.894;13503.112;15713.962;17855.624;10827.172;
15000;11655.01;12174.255;13625.09;12625.07;15544.235;12583.42;13973.165;9330.23;10473.815;13582.62;15899.245;18236.74;10921.97;
16000;11725.344;12285.872;13700.096;12683.408;15601.184;12655.648;14063.376;9418.912;10548.736;13662.128;15964.528;18297.856;11016.768;
17000;11795.678;12397.489;13775.102;12741.746;15658.133;12727.876;14153.587;9507.594;10623.657;13741.636;16029.811;18358.972;11111.566;
18000;11866.012;12509.106;13850.108;12800.084;15715.082;12800.104;14243.798;9596.276;10698.578;13821.144;16095.094;18420.088;11206.364;
19000;11936.346;12620.723;13925.114;12858.422;15772.031;12872.332;14334.009;9684.958;10773.499;13900.652;16160.377;18481.204;11301.162;
20000;12006.68;12832.34;14080.12;12916.76;15828.98;13294.56;14424.22;9773.64;10848.42;13980.16;16225.66;18542.32;11475.96;
21000;12077.014;12943.957;14155.126;12975.098;15885.929;13366.788;14514.431;9862.322;10923.341;14059.668;16290.943;18603.436;11570.758;
22000;12147.348;13055.574;14230.132;13033.436;15942.878;13439.016;14604.642;9951.004;10998.262;14139.176;16356.226;18664.552;11665.556;
23000;12217.682;13167.191;14305.138;13091.774;15999.827;13511.244;14694.853;10039.686;11073.183;14218.684;16421.509;18725.668;11760.354;
24000;12288.016;13278.808;14380.144;13150.112;16056.776;13583.472;14785.064;10128.368;11148.104;14298.192;16486.792;18786.784;11855.152;
25000;12358.35;13390.425;14455.15;13208.45;16113.725;13655.7;14875.275;10217.05;11223.025;14377.7;16552.075;18847.9;11949.95;
26000;12428.684;13502.042;14530.156;13266.788;16170.674;13727.928;14965.486;10305.732;11297.946;14457.208;16617.358;18909.016;12044.748;
27000;12499.018;13613.659;14605.162;13325.126;16227.623;13800.156;15055.697;10394.414;11372.867;14536.716;16682.641;18970.132;12139.546;
28000;12569.352;13725.276;14680.168;13383.464;16284.572;13872.384;15145.908;10483.096;11447.788;14616.224;16747.924;19031.248;12234.344;
29000;12639.686;13836.893;14755.174;13441.802;16341.521;13944.612;15236.119;10571.778;11522.709;14695.732;16813.207;19092.364;12329.142;
30000;12710.02;13948.51;14830.18;13650.14;16598.47;14016.84;15446.33;10860.46;11597.63;14775.24;16998.49;19893.48;12423.94;
31000;12780.354;14060.127;14905.186;13708.478;16655.419;14089.068;15536.541;10949.142;11672.551;14854.748;17063.773;19954.596;12518.738;
32000;12850.688;14171.744;14980.192;13766.816;16712.368;14161.296;15626.752;11037.824;11747.472;14934.256;17129.056;20015.712;12613.536;
33000;12921.022;14283.361;15055.198;13825.154;16769.317;14233.524;15716.963;11126.506;11822.393;15013.764;17194.339;20076.828;12708.334;
34000;12991.356;14394.978;15130.204;13883.492;16826.266;14305.752;15807.174;11215.188;11897.314;15093.272;17259.622;20137.944;12803.132;
35000;13061.69;14506.595;15205.21;13941.83;16883.215;14377.98;15897.385;11303.87;11972.235;15172.78;17324.905;20199.06;12897.93;
36000;13132.024;14618.212;15280.216;14000.168;16940.164;14450.208;15987.596;11392.552;12047.156;15252.288;17390.188;20260.176;12992.728;
37000;13202.358;14729.829;15355.222;14058.506;16997.113;14522.436;16077.807;11481.234;12122.077;15331.796;17455.471;20321.292;13087.526;
38000;13272.692;14841.446;15430.228;14116.844;17054.062;14594.664;16168.018;11569.916;12196.998;15411.304;17520.754;20382.408;13182.324;
39000;13343.026;14953.063;15505.234;14175.182;17111.011;14666.892;16258.229;11658.598;12271.919;15490.812;17586.037;20443.524;13277.122;
40000;13413.36;15164.68;15660.24;14233.52;17167.96;15089.12;16348.44;11747.28;12346.84;15570.32;17651.32;20504.64;13451.92;
41000;13483.694;15276.297;15735.246;14291.858;17224.909;15161.348;16438.651;11835.962;12421.761;15649.828;17716.603;20565.756;13546.718;
42000;13554.028;15387.914;15810.252;14350.196;17281.858;15233.576;16528.862;11924.644;12496.682;15729.336;17781.886;20626.872;13641.516;
43000;13624.362;15499.531;15885.258;14408.534;17338.807;15305.804;16619.073;12013.326;12571.603;15808.844;17847.169;20687.988;13736.314;
44000;13694.696;15611.148;15960.264;14466.872;17395.756;15378.032;16709.284;12102.008;12646.524;15888.352;17912.452;20749.104;13831.112;
45000;13765.03;15722.765;16035.27;14675.21;17452.705;15450.26;16919.495;12190.69;12721.445;15967.86;18097.735;21130.22;13925.91;
46000;13835.364;15834.382;16110.276;14733.548;17509.654;15522.488;17009.706;12279.372;12796.366;16047.368;18163.018;21191.336;14020.708;
47000;14285.698;16295.999;16535.282;15291.886;18066.603;16044.716;17633.917;12868.054;13371.287;16126.876;18762.301;21252.452;14465.506;
48000;14356.032;16407.616;16610.288;15350.224;18123.552;16116.944;17724.128;12956.736;13446.208;16206.384;18827.584;21313.568;14560.304;
49000;14426.366;16519.233;16685.294;15408.562;18180.501;16189.172;17814.339;13045.418;13521.129;16285.892;18892.867;21374.684;14655.102;
50000;14496.7;16630.85;16760.3;15466.9;18237.45;16261.4;17904.55;13134.1;13596.05;16365.4;18958.15;21435.8;14749.9;
51000;14567.034;16742.467;16835.306;15525.238;18294.399;16333.628;17994.761;13222.782;13670.971;16444.908;19023.433;21496.916;14844.698;
52000;14637.368;16854.084;16910.312;15583.576;18351.348;16405.856;18084.972;13311.464;13745.892;16524.416;19088.716;21558.032;14939.496;
53000;14707.702;16965.701;16985.318;15641.914;18408.297;16478.084;18175.183;13400.146;13820.813;16603.924;19153.999;21619.148;15034.294;
54000;14778.036;17077.318;17060.324;15700.252;18465.246;16550.312;18265.394;13488.828;13895.734;16683.432;19219.282;21680.264;15129.092;
55000;14848.37;17188.935;17135.33;15758.59;18522.195;16622.54;18355.605;13577.51;13970.655;16762.94;19284.565;21741.38;15223.89;
56000;14918.704;17300.552;17210.336;15816.928;18579.144;16694.768;18445.816;13666.192;14045.576;16842.448;19349.848;21802.496;15318.688;
57000;14989.038;17412.169;17285.342;15875.266;18636.093;16766.996;18536.027;13754.874;14120.497;16921.956;19415.131;21863.612;15413.486;
58000;15059.372;17523.786;17360.348;15933.604;18693.042;16839.224;18626.238;13843.556;14195.418;17001.464;19480.414;21924.728;15508.284;
59000;15129.706;17635.403;17435.354;15991.942;18749.991;16911.452;18716.449;13932.238;14270.339;17080.972;19545.697;21985.844;15603.082;
60000;15200.04;17847.02;17590.36;16200.28;19006.94;17333.68;18926.66;14220.92;14345.26;17160.48;19730.98;22786.96;15777.88;
61000;15270.374;17958.637;17665.366;16258.618;19063.889;17405.908;19016.871;14309.602;14420.181;17239.988;19796.263;22848.076;15872.678;
62000;15340.708;18070.254;17740.372;16316.956;19120.838;17478.136;19107.082;14398.284;14495.102;17319.496;19861.546;22909.192;15967.476;
63000;15411.042;18181.871;17815.378;16375.294;19177.787;17550.364;19197.293;14486.966;14570.023;17399.004;19926.829;22970.308;16062.274;
64000;15481.376;18293.488;17890.384;16433.632;19234.736;17622.592;19287.504;14575.648;14644.944;17478.512;19992.112;23031.424;16157.072;
65000;15551.71;18405.105;17965.39;16491.97;19291.685;17694.82;19377.715;14664.33;14719.865;17558.02;20057.395;23092.54;16251.87;
66000;15622.044;18516.722;18040.396;16550.308;19348.634;17767.048;19467.926;14753.012;14794.786;17637.528;20122.678;23153.656;16346.668;
67000;15692.378;18628.339;18115.402;16608.646;19405.583;17839.276;19558.137;14841.694;14869.707;17717.036;20187.961;23214.772;16441.466;
68000;15762.712;18739.956;18190.408;16666.984;19462.532;17911.504;19648.348;14930.376;14944.628;17796.544;20253.244;23275.888;16536.264;
69000;15833.046;18851.573;18265.414;16725.322;19519.481;17983.732;19738.559;15019.058;15019.549;17876.052;20318.527;23337.004;16631.062;
70000;15903.38;18963.19;18340.42;16783.66;19576.43;18055.96;19828.77;15107.74;15094.47;17955.56;20383.81;23398.12;16725.86;
71000;15973.714;19074.807;18415.426;16841.998;19633.379;18128.188;19918.981;15196.422;15169.391;18035.068;20449.093;23459.236;16820.658;
72000;16044.048;19186.424;18490.432;16900.336;19690.328;18200.416;20009.192;15285.104;15244.312;18114.576;20514.376;23520.352;16915.456;
73000;16114.382;19298.041;18565.438;16958.674;19747.277;18272.644;20099.403;15373.786;15319.233;18194.084;20579.659;23581.468;17010.254;
74000;16184.716;19409.658;18640.444;17017.012;19804.226;18344.872;20189.614;15462.468;15394.154;18273.592;20644.942;23642.584;17105.052;
75000;16255.05;19521.275;18715.45;17225.35;19861.175;18417.1;20399.825;15551.15;15469.075;18353.1;20830.225;24023.7;17199.85;
76000;16325.384;19632.892;18790.456;17283.688;19918.124;18489.328;20490.036;15639.832;15543.996;18432.608;20895.508;24084.816;17294.648;
77000;16395.718;19744.509;18865.462;17342.026;19975.073;18561.556;20580.247;15728.514;15618.917;18512.116;20960.791;24145.932;17389.446;
78000;16466.052;19856.126;18940.468;17400.364;20032.022;18633.784;20670.458;15817.196;15693.838;18591.624;21026.074;24207.048;17484.244;
79000;16536.386;19967.743;19015.474;17458.702;20088.971;18706.012;20760.669;15905.878;15768.759;18671.132;21091.357;24268.164;17579.042;
80000;16606.72;20679.36;19620.48;17517.04;20145.92;19128.24;20850.88;15994.56;15843.68;18750.64;21156.64;24329.28;18203.84;
81000;16677.054;20790.977;19695.486;17575.378;20202.869;19200.468;20941.091;16083.242;15918.601;18830.148;21221.923;24390.396;18298.638;
82000;16747.388;20902.594;19770.492;17633.716;20259.818;19272.696;21031.302;16171.924;15993.522;18909.656;21287.206;24451.512;18393.436;
83000;16817.722;21014.211;19845.498;17692.054;20316.767;19344.924;21121.513;16260.606;16068.443;18989.164;21352.489;24512.628;18488.234;
84000;16888.056;21125.828;19920.504;17750.392;20373.716;19417.152;21211.724;16349.288;16143.364;19068.672;21417.772;24573.744;18583.032;
85000;16958.39;21237.445;19995.51;17808.73;20430.665;19489.38;21301.935;16437.97;16218.285;19148.18;21483.055;24634.86;18677.83;
86000;17028.724;21349.062;20070.516;17867.068;20487.614;19561.608;21392.146;16526.652;16293.206;19227.688;21548.338;24695.976;18772.628;
87000;17099.058;21460.679;20145.522;17925.406;20544.563;19633.836;21482.357;16615.334;16368.127;19307.196;21613.621;24757.092;18867.426;
88000;17169.392;21572.296;20220.528;17983.744;20601.512;19706.064;21572.568;16704.016;16443.048;19386.704;21678.904;24818.208;18962.224;
89000;17239.726;21683.913;20295.534;18042.082;20658.461;19778.292;21662.779;16792.698;16517.969;19466.212;21744.187;24879.324;19057.022;
90000;17860.06;21795.53;20370.54;18250.42;21415.41;19850.52;22622.99;17581.38;16592.89;19545.72;22679.47;25680.44;19151.82;
91000;17930.394;21907.147;20445.546;18308.758;21472.359;19922.748;22713.201;17670.062;16667.811;19625.228;22744.753;25741.556;19246.618;
92000;18000.728;22018.764;20520.552;18367.096;21529.308;19994.976;22803.412;17758.744;16742.732;19704.736;22810.036;25802.672;19341.416;
93000;18071.062;22130.381;20595.558;18425.434;21586.257;20067.204;22893.623;17847.426;16817.653;19784.244;22875.319;25863.788;19436.214;
94000;18521.396;22591.998;21020.564;18983.772;22143.206;20589.432;23517.834;18436.108;17392.574;19863.752;23474.602;25924.904;19881.012;
95000;18591.73;22703.615;21095.57;19042.11;22200.155;20661.66;23608.045;18524.79;17467.495;19943.26;23539.885;25986.02;19975.81;
96000;18662.064;22815.232;21170.576;19100.448;22257.104;20733.888;23698.256;18613.472;17542.416;20022.768;23605.168;26047.136;20070.608;
97000;18732.398;22926.849;21245.582;19158.786;22314.053;20806.116;23788.467;18702.154;17617.337;20102.276;23670.451;26108.252;20165.406;
98000;18802.732;23038.466;21320.588;19217.124;22371.002;20878.344;23878.678;18790.836;17692.258;20181.784;23735.734;26169.368;20260.204;
99000;18873.066;23150.083;21395.594;19275.462;22427.951;20950.572;23968.889;18879.518;17767.179;20261.292;23801.017;26230.484;20355.002;
100000;18943.4;23361.7;21550.6;19333.8;22484.9;21372.8;24194.1;18968.2;17842.1;20340.8;24001.3;26291.6;20529.8;
101000;19013.734;23473.317;21625.606;19392.138;22541.849;21445.028;24284.311;19056.882;17917.021;20420.308;24066.583;26352.716;20624.598;
102000;19084.068;23584.934;21700.612;19450.476;22598.798;21517.256;24374.522;19145.564;17991.942;20499.816;24131.866;26413.832;20719.396;
