Kilometres;Dacia Sandero 1.2;Dacia Logan 1.2;Fiat Panda 1.3 d;Dacia Logan 1.5 dci;Fiat Punto Evo 1.3 d;Renaut Clio Campus 1.5;Skoda Fabia 1.2 e;Skoda Fabia 1.4 TDI;Fiat Panda 1.2 e;Fiat Punto Evo 1.2 e;Renault Clio III essence 75 ch;Toyota Yaris;Toyota Aygo 1.1
0;10500.0;9500.0;11600.0;12500.0;14690.0;11500.0;12500.0;14800.0;9350.0;12390.0;8000.0;17000.0;10600.0;
1000;10611.617;9584.37022;11658.338;12575.006;14746.949;11572.228;12580.28779;14858.10187;9424.921;12469.508;8088.682;17061.116;10670.334;
2000;10723.234;9668.74044;11716.676;12650.012;14803.898;11644.456;12660.57558;14916.20374;9499.842;12549.016;8177.364;17122.232;10740.668;
3000;10834.851;9753.11066;11775.014;12725.018;14860.847;11716.684;12740.86337;14974.30561;9574.763;12628.524;8266.046;17183.348;10811.002;
4000;10946.468;9837.48088;11833.352;12800.024;14917.796;11788.912;12821.15116;15032.40748;9649.684;12708.032;8354.728;17244.464;10881.336;
5000;11058.085;9921.8511;11891.69;12875.03;14974.745;11861.14;12901.43895;15090.50935;9724.605;12787.54;8443.41;17305.58;10951.67;
6000;11169.702;10006.22132;11950.028;12950.036;15031.694;11933.368;12981.72674;15148.61122;9799.526;12867.048;8532.092;17366.696;11022.004;
7000;11281.319;10090.59154;12008.366;13025.042;15088.643;12005.596;13062.01453;15206.71309;9874.447;12946.556;8620.774;17427.812;11092.338;
8000;11392.936;10174.96176;12066.704;13100.048;15145.592;12077.824;13142.30232;15264.81496;9949.368;13026.064;8709.456;17488.928;11162.672;
9000;11504.553;10259.33198;12125.042;13175.054;15202.541;12150.052;13222.59011;15322.91683;10024.289;13105.572;8798.138;17550.044;11233.006;
10000;11616.17;10343.7022;12183.38;13250.06;15259.49;12222.28;13302.8779;15381.0187;10099.21;13185.08;8886.82;17611.16;11303.34;
11000;11727.787;10428.07242;12241.718;13325.066;15316.439;12294.508;13383.16569;15439.12057;10174.131;13264.588;8975.502;17672.276;11373.674;
12000;11839.404;10512.44264;12300.056;13400.072;15373.388;12366.736;13463.45348;15497.22244;10249.052;13344.096;9064.184;17733.392;11444.008;
13000;11951.021;10596.81286;12358.394;13475.078;15430.337;12438.964;13543.74127;15555.32431;10323.973;13423.604;9152.866;17794.508;11514.342;
14000;12062.638;10681.18308;12416.732;13550.084;15487.286;12511.192;13624.02906;15613.42618;10398.894;13503.112;9241.548;17855.624;11584.676;
15000;12174.255;10765.5533;12625.07;13625.09;15544.235;12583.42;13811.11685;15778.32805;10473.815;13582.62;9330.23;18236.74;11655.01;
16000;12285.872;10849.92352;12683.408;13700.096;15601.184;12655.648;13891.40464;15836.42992;10548.736;13662.128;9418.912;18297.856;11725.344;
17000;12397.489;10934.29374;12741.746;13775.102;15658.133;12727.876;13971.69243;15894.53179;10623.657;13741.636;9507.594;18358.972;11795.678;
18000;12509.106;11018.66396;12800.084;13850.108;15715.082;12800.104;14051.98022;15952.63366;10698.578;13821.144;9596.276;18420.088;11866.012;
19000;12620.723;11103.03418;12858.422;13925.114;15772.031;12872.332;14132.26801;16010.73553;10773.499;13900.652;9684.958;18481.204;11936.346;
20000;12832.34;11258.6044;12916.76;14080.12;15828.98;13294.56;14212.5558;16068.8374;10848.42;13980.16;9773.64;18542.32;12006.68;
21000;12943.957;11342.97462;12975.098;14155.126;15885.929;13366.788;14292.84359;16126.93927;10923.341;14059.668;9862.322;18603.436;12077.014;
22000;13055.574;11427.34484;13033.436;14230.132;15942.878;13439.016;14373.13138;16185.04114;10998.262;14139.176;9951.004;18664.552;12147.348;
23000;13167.191;11511.71506;13091.774;14305.138;15999.827;13511.244;14453.41917;16243.14301;11073.183;14218.684;10039.686;18725.668;12217.682;
24000;13278.808;11596.08528;13150.112;14380.144;16056.776;13583.472;14533.70696;16301.24488;11148.104;14298.192;10128.368;18786.784;12288.016;
25000;13390.425;11680.4555;13208.45;14455.15;16113.725;13655.7;14613.99475;16359.34675;11223.025;14377.7;10217.05;18847.9;12358.35;
26000;13502.042;11764.82572;13266.788;14530.156;16170.674;13727.928;14694.28254;16417.44862;11297.946;14457.208;10305.732;18909.016;12428.684;
27000;13613.659;11849.19594;13325.126;14605.162;16227.623;13800.156;14774.57033;16475.55049;11372.867;14536.716;10394.414;18970.132;12499.018;
28000;13725.276;11933.56616;13383.464;14680.168;16284.572;13872.384;14854.85812;16533.65236;11447.788;14616.224;10483.096;19031.248;12569.352;
29000;13836.893;12017.93638;13441.802;14755.174;16341.521;13944.612;14935.14591;16591.75423;11522.709;14695.732;10571.778;19092.364;12639.686;
30000;13948.51;12102.3066;13650.14;14830.18;16598.47;14016.84;15122.2337;16756.6561;11597.63;14775.24;10860.46;19893.48;12710.02;
31000;14060.127;12186.67682;13708.478;14905.186;16655.419;14089.068;15202.52149;16814.75797;11672.551;14854.748;10949.142;19954.596;12780.354;
32000;14171.744;12271.04704;13766.816;14980.192;16712.368;14161.296;15282.80928;16872.85984;11747.472;14934.256;11037.824;20015.712;12850.688;
33000;14283.361;12355.41726;13825.154;15055.198;16769.317;14233.524;15363.09707;16930.96171;11822.393;15013.764;11126.506;20076.828;12921.022;
34000;14394.978;12439.78748;13883.492;15130.204;16826.266;14305.752;15443.38486;16989.06358;11897.314;15093.272;11215.188;20137.944;12991.356;
35000;14506.595;12524.1577;13941.83;15205.21;16883.215;14377.98;15523.67265;17047.16545;11972.235;15172.78;11303.87;20199.06;13061.69;
36000;14618.212;12608.52792;14000.168;15280.216;16940.164;14450.208;15603.96044;17105.26732;12047.156;15252.288;11392.552;20260.176;13132.024;
37000;14729.829;12692.89814;14058.506;15355.222;16997.113;14522.436;15684.24823;17163.36919;12122.077;15331.796;11481.234;20321.292;13202.358;
38000;14841.446;12777.26836;14116.844;15430.228;17054.062;14594.664;15764.53602;17221.47106;12196.998;15411.304;11569.916;20382.408;13272.692;
39000;14953.063;12861.63858;14175.182;15505.234;17111.011;14666.892;15844.82381;17279.57293;12271.919;15490.812;11658.598;20443.524;13343.026;
40000;15164.68;13017.2088;14233.52;15660.24;17167.96;15089.12;15925.1116;17337.6748;12346.84;15570.32;11747.28;20504.64;13413.36;
41000;15276.297;13101.57902;14291.858;15735.246;17224.909;15161.348;16005.39939;17395.77667;12421.761;15649.828;11835.962;20565.756;13483.694;
42000;15387.914;13185.94924;14350.196;15810.252;17281.858;15233.576;16085.68718;17453.87854;12496.682;15729.336;11924.644;20626.872;13554.028;
43000;15499.531;13270.31946;14408.534;15885.258;17338.807;15305.804;16165.97497;17511.98041;12571.603;15808.844;12013.326;20687.988;13624.362;
44000;15611.148;13354.68968;14466.872;15960.264;17395.756;15378.032;16246.26276;17570.08228;12646.524;15888.352;12102.008;20749.104;13694.696;
45000;15722.765;13439.0599;14675.21;16035.27;17452.705;15450.26;16433.35055;17734.98415;12721.445;15967.86;12190.69;21130.22;13765.03;
46000;15834.382;13523.43012;14733.548;16110.276;17509.654;15522.488;16513.63834;17793.08602;12796.366;16047.368;12279.372;21191.336;13835.364;
47000;16295.999;13957.80034;15291.886;16535.282;18066.603;16044.716;17127.92613;18385.18789;13371.287;16126.876;12868.054;21252.452;14285.698;
48000;16407.616;14042.17056;15350.224;16610.288;18123.552;16116.944;17208.21392;18443.28976;13446.208;16206.384;12956.736;21313.568;14356.032;
49000;16519.233;14126.54078;15408.562;16685.294;18180.501;16189.172;17288.50171;18501.39163;13521.129;16285.892;13045.418;21374.684;14426.366;
50000;16630.85;14210.911;15466.9;16760.3;18237.45;16261.4;17368.7895;18559.4935;13596.05;16365.4;13134.1;21435.8;14496.7;
51000;16742.467;14295.28122;15525.238;16835.306;18294.399;16333.628;17449.07729;18617.59537;13670.971;16444.908;13222.782;21496.916;14567.034;
52000;16854.084;14379.65144;15583.576;16910.312;18351.348;16405.856;17529.36508;18675.69724;13745.892;16524.416;13311.464;21558.032;14637.368;
53000;16965.701;14464.02166;15641.914;16985.318;18408.297;16478.084;17609.65287;18733.79911;13820.813;16603.924;13400.146;21619.148;14707.702;
54000;17077.318;14548.39188;15700.252;17060.324;18465.246;16550.312;17689.94066;18791.90098;13895.734;16683.432;13488.828;21680.264;14778.036;
55000;17188.935;14632.7621;15758.59;17135.33;18522.195;16622.54;17770.22845;18850.00285;13970.655;16762.94;13577.51;21741.38;14848.37;
56000;17300.552;14717.13232;15816.928;17210.336;18579.144;16694.768;17850.51624;18908.10472;14045.576;16842.448;13666.192;21802.496;14918.704;
57000;17412.169;14801.50254;15875.266;17285.342;18636.093;16766.996;17930.80403;18966.20659;14120.497;16921.956;13754.874;21863.612;14989.038;
58000;17523.786;14885.87276;15933.604;17360.348;18693.042;16839.224;18011.09182;19024.30846;14195.418;17001.464;13843.556;21924.728;15059.372;
59000;17635.403;14970.24298;15991.942;17435.354;18749.991;16911.452;18091.37961;19082.41033;14270.339;17080.972;13932.238;21985.844;15129.706;
60000;17847.02;15125.8132;16200.28;17590.36;19006.94;17333.68;18278.4674;19247.3122;14345.26;17160.48;14220.92;22786.96;15200.04;
61000;17958.637;15210.18342;16258.618;17665.366;19063.889;17405.908;18358.75519;19305.41407;14420.181;17239.988;14309.602;22848.076;15270.374;
62000;18070.254;15294.55364;16316.956;17740.372;19120.838;17478.136;18439.04298;19363.51594;14495.102;17319.496;14398.284;22909.192;15340.708;
63000;18181.871;15378.92386;16375.294;17815.378;19177.787;17550.364;18519.33077;19421.61781;14570.023;17399.004;14486.966;22970.308;15411.042;
64000;18293.488;15463.29408;16433.632;17890.384;19234.736;17622.592;18599.61856;19479.71968;14644.944;17478.512;14575.648;23031.424;15481.376;
65000;18405.105;15547.6643;16491.97;17965.39;19291.685;17694.82;18679.90635;19537.82155;14719.865;17558.02;14664.33;23092.54;15551.71;
66000;18516.722;15632.03452;16550.308;18040.396;19348.634;17767.048;18760.19414;19595.92342;14794.786;17637.528;14753.012;23153.656;15622.044;
67000;18628.339;15716.40474;16608.646;18115.402;19405.583;17839.276;18840.48193;19654.02529;14869.707;17717.036;14841.694;23214.772;15692.378;
68000;18739.956;15800.77496;16666.984;18190.408;19462.532;17911.504;18920.76972;19712.12716;14944.628;17796.544;14930.376;23275.888;15762.712;
69000;18851.573;15885.14518;16725.322;18265.414;19519.481;17983.732;19001.05751;19770.22903;15019.549;17876.052;15019.058;23337.004;15833.046;
70000;18963.19;15969.5154;16783.66;18340.42;19576.43;18055.96;19081.3453;19828.3309;15094.47;17955.56;15107.74;23398.12;15903.38;
71000;19074.807;16053.88562;16841.998;18415.426;19633.379;18128.188;19161.63309;19886.43277;15169.391;18035.068;15196.422;23459.236;15973.714;
72000;19186.424;16138.25584;16900.336;18490.432;19690.328;18200.416;19241.92088;19944.53464;15244.312;18114.576;15285.104;23520.352;16044.048;
73000;19298.041;16222.62606;16958.674;18565.438;19747.277;18272.644;19322.20867;20002.63651;15319.233;18194.084;15373.786;23581.468;16114.382;
74000;19409.658;16306.99628;17017.012;18640.444;19804.226;18344.872;19402.49646;20060.73838;15394.154;18273.592;15462.468;23642.584;16184.716;
75000;19521.275;16391.3665;17225.35;18715.45;19861.175;18417.1;19589.58425;20225.64025;15469.075;18353.1;15551.15;24023.7;16255.05;
76000;19632.892;16475.73672;17283.688;18790.456;19918.124;18489.328;19669.87204;20283.74212;15543.996;18432.608;15639.832;24084.816;16325.384;
77000;19744.509;16560.10694;17342.026;18865.462;19975.073;18561.556;19750.15983;20341.84399;15618.917;18512.116;15728.514;24145.932;16395.718;
78000;19856.126;16644.47716;17400.364;18940.468;20032.022;18633.784;19830.44762;20399.94586;15693.838;18591.624;15817.196;24207.048;16466.052;
79000;19967.743;16728.84738;17458.702;19015.474;20088.971;18706.012;19910.73541;20458.04773;15768.759;18671.132;15905.878;24268.164;16536.386;
