Kilometres;Skoda Fabia 1.4 TDI;Toyota Aygo 1.1;Dacia Logan 1.2;Renaut Clio Campus 1.5;Dacia Sandero 1.2;Toyota Aygo 1.2 d;Fiat Grande Punto 1.2 e;Fiat Grande Punto 1.3 d;Renault Clio Campus.com e;Renault Clio Campus.com GPL;Renault Clio Campus.com dci;
0;14800.0;10600;9500;11500;10500;12300;12000;15000;0;0;0;
1000;14859.643;10663.894;9586.118;11565.988;10601.397;12353.298;12081.951;15057.105;13.89;7.98;12.69;
2000;14919.286;10727.788;9672.236;11631.976;10702.794;12406.596;12163.902;15114.21;27.78;15.96;25.38;
3000;14978.929;10791.682;9758.354;11697.964;10804.191;12459.894;12245.853;15171.315;41.67;23.94;38.07;
4000;15038.572;10855.576;9844.472;11763.952;10905.588;12513.192;12327.804;15228.42;55.56;31.92;50.76;
5000;15098.215;10919.47;9930.59;11829.94;11006.985;12566.49;12409.755;15285.525;69.45;39.9;63.45;
6000;15157.858;10983.364;10016.708;11895.928;11108.382;12619.788;12491.706;15342.63;83.34;47.88;76.14;
7000;15217.501;11047.258;10102.826;11961.916;11209.779;12673.086;12573.657;15399.735;97.23;55.86;88.83;
8000;15277.144;11111.152;10188.944;12027.904;11311.176;12726.384;12655.608;15456.84;111.12;63.84;101.52;
9000;15336.787;11175.046;10275.062;12093.892;11412.573;12779.682;12737.559;15513.945;125.01;71.82;114.21;
10000;15396.43;11238.94;10361.18;12159.88;11513.97;12832.98;12819.51;15571.05;138.9;79.8;126.9;
11000;15456.073;11302.834;10447.298;12225.868;11615.367;12886.278;12901.461;15628.155;152.79;87.78;139.59;
12000;15515.716;11366.728;10533.416;12291.856;11716.764;12939.576;12983.412;15685.26;166.68;95.76;152.28;
13000;15575.359;11430.622;10619.534;12357.844;11818.161;12992.874;13065.363;15742.365;180.57;103.74;164.97;
14000;15635.002;11494.516;10705.652;12423.832;11919.558;13046.172;13147.314;15799.47;194.46;111.72;177.66;
15000;15814.645;11668.41;10791.77;12489.82;12020.955;13099.47;13229.265;15856.575;208.35;119.7;190.35;
16000;15874.288;11732.304;10877.888;12555.808;12122.352;13152.768;13311.216;15913.68;222.24;127.68;203.04;
17000;15933.931;11796.198;10964.006;12621.796;12223.749;13206.066;13393.167;15970.785;236.13;135.66;215.73;
18000;15993.574;11860.092;11050.124;12687.784;12325.146;13259.364;13475.118;16027.89;250.02;143.64;228.42;
19000;16053.217;11923.986;11136.242;12753.772;12426.543;13312.662;13557.069;16084.995;263.91;151.62;241.11;
20000;16112.86;11987.88;11302.36;13169.76;12627.94;13595.96;13639.02;16142.1;277.8;159.6;253.8;
21000;16172.503;12051.774;11388.478;13235.748;12729.337;13649.258;13720.971;16199.205;291.69;167.58;266.49;
22000;16232.146;12115.668;11474.596;13301.736;12830.734;13702.556;13802.922;16256.31;305.58;175.56;279.18;
23000;16291.789;12179.562;11560.714;13367.724;12932.131;13755.854;13884.873;16313.415;319.47;183.54;291.87;
24000;16351.432;12243.456;11646.832;13433.712;13033.528;13809.152;13966.824;16370.52;333.36;191.52;304.56;
25000;16411.075;12307.35;11732.95;13499.7;13134.925;13862.45;14048.775;16427.625;347.25;199.5;317.25;
26000;16470.718;12371.244;11819.068;13565.688;13236.322;13915.748;14130.726;16484.73;361.14;207.48;329.94;
27000;16530.361;12435.138;11905.186;13631.676;13337.719;13969.046;14212.677;16541.835;375.03;215.46;342.63;
28000;16590.004;12499.032;11991.304;13697.664;13439.116;14022.344;14294.628;16598.94;388.92;223.44;355.32;
29000;16649.647;12562.926;12077.422;13763.652;13540.513;14075.642;14376.579;16656.045;402.81;231.42;368.01;
30000;16829.29;12736.82;12163.54;13829.64;13641.91;14128.94;14458.53;16713.15;416.7;239.4;380.7;
31000;16888.933;12800.714;12249.658;13895.628;13743.307;14182.238;14540.481;16770.255;430.59;247.38;393.39;
32000;16948.576;12864.608;12335.776;13961.616;13844.704;14235.536;14622.432;16827.36;444.48;255.36;406.08;
33000;17008.219;12928.502;12421.894;14027.604;13946.101;14288.834;14704.383;16884.465;458.37;263.34;418.77;
34000;17067.862;12992.396;12508.012;14093.592;14047.498;14342.132;14786.334;16941.57;472.26;271.32;431.46;
35000;17127.505;13056.29;12594.13;14159.58;14148.895;14395.43;14868.285;16998.675;486.15;279.3;444.15;
36000;17187.148;13120.184;12680.248;14225.568;14250.292;14448.728;14950.236;17055.78;500.04;287.28;456.84;
37000;17246.791;13184.078;12766.366;14291.556;14351.689;14502.026;15032.187;17112.885;513.93;295.26;469.53;
38000;17306.434;13247.972;12852.484;14357.544;14453.086;14555.324;15114.138;17169.99;527.82;303.24;482.22;
39000;17366.077;13311.866;12938.602;14423.532;14554.483;14608.622;15196.089;17227.095;541.71;311.22;494.91;
40000;17425.72;13375.76;13104.72;14839.52;14755.88;14891.92;15278.04;17284.2;555.6;319.2;507.6;
41000;17485.363;13439.654;13190.838;14905.508;14857.277;14945.218;15359.991;17341.305;569.49;327.18;520.29;
42000;17545.006;13503.548;13276.956;14971.496;14958.674;14998.516;15441.942;17398.41;583.38;335.16;532.98;
43000;17604.649;13567.442;13363.074;15037.484;15060.071;15051.814;15523.893;17455.515;597.27;343.14;545.67;
44000;17664.292;13631.336;13449.192;15103.472;15161.468;15105.112;15605.844;17512.62;611.16;351.12;558.36;
45000;17843.935;13805.23;13535.31;15169.46;15262.865;15158.41;15687.795;17569.725;625.05;359.1;571.05;
46000;17903.578;13869.124;13621.428;15235.448;15364.262;15211.708;15769.746;17626.83;638.94;367.08;583.74;
47000;18497.221;14313.018;14057.546;15751.436;15815.659;15645.006;15851.697;17683.935;652.83;375.06;596.43;
48000;18556.864;14376.912;14143.664;15817.424;15917.056;15698.304;15933.648;17741.04;666.72;383.04;609.12;
49000;18616.507;14440.806;14229.782;15883.412;16018.453;15751.602;16015.599;17798.145;680.61;391.02;621.81;
50000;18676.15;14504.7;14315.9;15949.4;16119.85;15804.9;16097.55;17855.25;694.5;399.0;634.5;
51000;18735.793;14568.594;14402.018;16015.388;16221.247;15858.198;16179.501;17912.355;708.39;406.98;647.19;
